Session Date,Session ID,Intent,Node Point ID,Deflected?,CSAT,Issue,Correct Intent,Issue Type,Description
Started at,'1721533961294912128,,,Null,Null,Unclear,,Unclear,- Transfer status is unknown
Started at,'1721531300311022592,,,Null,Null,Unclear,,Unclear,- Transfer status is unknown
Started at,'1721531835755959168,,,Null,Null,Unclear,,Unclear,- Transfer status is unknown
Started at,'1721532546632000960,,,Null,Null,Unclear,,Unclear,- Transfer status is unknown
Started at,'1721531381890522944,,,Null,Null,Unclear,,Unclear,- Transfer status is unknown
